100,268,0.02855,498,0.0254,529,0.0235,
200,643,0.0494,1127,0.05055,1126,0.04895,
300,1023,0.0796,1762,0.08165,1786,0.0804,
400,1477,0.12745,2492,0.15075,2465,0.15465,
500,1926,0.17365,3173,0.1349,3189,0.1371,
600,2356,0.1608,3899,0.16325,3844,0.1618,
700,2857,0.1935,4611,0.18215,4607,0.18155,
800,3370,0.2106,5350,0.21245,5328,0.21645,
900,3977,0.24245,6217,0.24705,6246,0.24675,
1000,4353,0.2778,6974,0.2825,6816,0.2806,
1100,4826,0.3193,7575,0.32445,7577,0.3276,
1200,5314,0.3413,8344,0.34145,8234,0.3332,
1300,5874,0.37415,9137,0.377,9022,0.4131,
1400,6426,0.41475,9985,0.40945,9839,0.3903,
1500,6951,0.43105,10793,0.4554,10570,0.43785,
1600,7543,0.47755,11594,0.45945,11450,0.47015,
1700,8170,0.50795,12559,0.4956,12316,0.5042,
1800,8852,0.5115,13431,0.5138,13321,0.51815,
1900,9263,0.5535,14087,0.54805,13860,0.5392,
2000,9726,0.6033,14852,0.64675,14571,0.5903,
2100,10219,0.62795,15538,0.6167,15274,0.6176,
2200,10764,0.6385,16342,0.63765,16115,0.6235,
2300,11295,0.66215,17138,0.67865,16969,0.6809,
2400,11855,0.7133,17950,0.6853,17782,0.69465,
2500,12438,0.703,18820,0.71905,18558,0.71005,
2600,13077,0.74245,19752,0.7458,19349,0.7479,
2700,13748,0.76885,20608,0.78205,20442,0.75585,
2800,14244,0.791,21371,0.79945,21103,0.8345,
2900,14817,0.8237,22183,0.84225,21916,0.8346,
3000,15415,0.8703,23097,0.8746,22715,0.87585,
